name,number_of_locations,priority
Black-capped Pygmy-Tyrant,1,
Black-cheeked Woodpecker,1,Y
Black-crested Coquette,1,
Black-crowned Antshrike,1,
Black-faced Antthrush,1,
Black-faced Grosbeak,1,
Black-headed Nightingale-Thrush,1,
Black-headed Tody-Flycatcher,1,
Black-headed Trogon,1,
Black-throated Green Warbler,1,
Black-throated Wren,1,
Blue Ground-Dove,1,
Blue-and-gold Tanager,1,
Blue-chested Hummingbird,1,
Blue-crowned Manakin,1,
Blue-headed Parrot,1,
Blue-headed Vireo,1,
Bran-colored Flycatcher,1,
Broad-billed Motmot,1,
Brown Noddy,1,
Brown Violetear,1,
Brown-crested Flycatcher,1,
Buff-fronted Quail-Dove,1,
Buffy Tuftedcheek,1,
Canada Warbler,1,
Canivet's Emerald,1,
Caspian Tern,1,
Chaetura sp.,1,
Chestnut-colored Woodpecker,1,
Chestnut-headed Oropendola,1,
Chimney Swift,1,
Cinnamon Hummingbird,1,
Cinnamon Woodpecker,1,
Cliff Swallow,1,
Collared Aracari,1,Y
Collared Trogon,1,
Common Ground-Dove,1,
Common Nighthawk,1,
Common Potoo,1,Y
Common Yellowthroat,1,
Costa Rican Brush-Finch,1,
Costa Rican Pygmy-Owl,1,
Crested Bobwhite,1,
Crimson-collared Tanager,1,
Dark Pewee,1,
Dot-winged Antwren,1,
Dusky Nightjar,1,
Dusky-faced Tanager,1,
Elegant Euphonia,1,
Emerald Toucanet,1,
Eye-ringed Flatbill,1,
Fasciated Antshrike,1,
Fasciated Tiger-Heron,1,
Ferruginous Pygmy-Owl,1,
Fiery-billed Aracari,1,
Fiery-throated Hummingbird,1,
Franklin's Gull,1,
Giant Cowbird,1,
Golden-bellied Flycatcher,1,
Golden-crowned Spadebill,1,
Golden-naped Woodpecker,1,
Golden-olive Woodpecker,1,
Golden-winged Warbler,1,
Gray-cheeked Thrush,1,
Gray-headed Kite,1,
Gray-lined Hawk,1,
Gray-rumped Swift,1,
Great Black Hawk,1,
Great Blue Heron,1,
Great Curassow,1,
Great Green Macaw,1,Y
Green Ibis,1,
Green Thorntail,1,
Green-fronted Lancebill,1,
Greenish Elaenia,1,
hawk sp.,1,
Highland Tinamou,1,
Lance-tailed Manakin,1,
Lattice-tailed Trogon,1,
Laughing Gull,1,
Least Sandpiper,1,
Lesser Yellow-headed Vulture,1,
Lineated Foliage-gleaner,1,
Long-billed Starthroat,1,
Long-tailed Tyrant,1,
Long-tailed Woodcreeper,1,
Magenta-throated Woodstar,1,
Mangrove Cuckoo,1,
Maroon-chested Ground-Dove,1,
Mourning Dove,1,
Muscovy Duck,1,
Northern Schiffornis,1,
Ocellated Antbird,1,
Ochraceous Pewee,1,
Olivaceous Piculet,1,
Olivaceous Woodcreeper,1,
Olive-backed Euphonia,1,
Olive-backed Quail-Dove,1,
Olive-crowned Yellowthroat,1,
Olive-striped Flycatcher,1,
Olive-throated Parakeet,1,
Orange-bellied Trogon,1,
Orange-collared Manakin,1,
Orchard Oriole,1,
Ovenbird,1,
Painted Bunting,1,
Pale-breasted Spinetail,1,
Pale-vented Thrush,1,
Panama Flycatcher,1,
parrot sp.,1,
Pectoral Sandpiper,1,
Peg-billed Finch,1,
Peregrine Falcon,1,
Plain-breasted Ground-Dove,1,
Plain-brown Woodcreeper,1,
Plain-capped Starthroat,1,
Plain-colored Tanager,1,
Prevost's Ground-Sparrow,1,
Purple-throated Fruitcrow,1,
Purple-throated Mountain-gem,1,
Red-breasted Blackbird,1,
Red-rumped Woodpecker,1,
Red-throated Ant-Tanager,1,
Red-winged Blackbird,1,
Rose-throated Becard,1,
Rough-legged Tyrannulet,1,
Royal Flycatcher,1,
Royal Tern,1,
Ruddy Quail-Dove,1,
Ruddy-breasted Seedeater,1,
Rufous Motmot,1,
Rufous Piha,1,
Rufous-and-white Wren,1,
Rufous-breasted Wren,1,
Rufous-capped Warbler,1,Y
Rufous-tailed Jacamar,1,
Sanderling,1,
Sandwich Tern,1,
Scaly-breasted Wren,1,
Scarlet-rumped Cacique,1,
Scarlet-thighed Dacnis,1,
Semiplumbeous Hawk,1,
Shining Honeycreeper,1,
Short-tailed Nighthawk,1,
Silvery-fronted Tapaculo,1,
Silvery-throated Jay,1,
Slate-headed Tody-Flycatcher,1,
Slaty Antwren,1,
Slaty Spinetail,1,
Slaty-breasted Tinamou,1,
Slaty-capped Flycatcher,1,
small falcon sp.,1,
Smoky-brown Woodpecker,1,
Snowy Cotinga,1,
Southern Beardless-Tyrannulet,1,
Spangle-cheeked Tanager,1,
Spot-crowned Euphonia,1,
Spotted Barbtail,1,
Spotted Woodcreeper,1,
Steely-vented Hummingbird,1,
Streak-breasted Treehunter,1,
Streaked Saltator,1,
Streaked Xenops,1,
Stripe-breasted Wren,1,
Striped Cuckoo,1,
Striped Woodhaunter,1,
Sunbittern,1,
Sungrebe,1,
Swainson's Hawk,1,
swift sp.,1,
Tawny-crested Tanager,1,
Tawny-crowned Greenlet,1,
Thick-billed Euphonia,1,
Three-wattled Bellbird,1,
Timberline Wren,1,
Tropical Mockingbird,1,
Tropical Parula,1,
Tropical Pewee,1,
Tropical Screech-Owl,1,
Volcano Junco,1,
Western Kingbird,1,
Whimbrel,1,
White-breasted Wood-Wren,1,
White-collared Manakin,1,
White-collared Seedeater,1,
White-eared Ground-Sparrow,1,Y
White-fronted Nunbird,1,
White-ringed Flycatcher,1,
White-ruffed Manakin,1,
White-shouldered Tanager,1,
White-tailed Emerald,1,
White-tailed Nightjar,1,
White-throated Shrike-Tanager,1,
White-winged Tanager,1,
Willet,1,
Wrenthrush,1,
Yellow Tyrannulet,1,
Yellow-bellied Flycatcher,1,
Yellow-crowned Night-Heron,1,
Yellow-margined Flycatcher,1,
Yellow-naped Parrot,1,
Zeledon's Antbird,1,
